variantId,parentFixtureId,split,dataMode,isDemo,generatorVersion,seed,mutationId,mutationCategory,mutationDescription,currentBudget,minimumForecastBudget,breachStatus,timeToBreachMinutes,breachStopId,confidenceScore
frozen-scenario-rain-hill-longshift-v1-shift-plus-30m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6174,shift-plus-30m,SHIFT,누적근무시간 30분 증가,54.7,29.739456,PREDICTED,52,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-shift-plus-60m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6175,shift-plus-60m,SHIFT,누적근무시간 60분 증가,54.7,29.734456,PREDICTED,52,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-continuous-plus-15m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6176,continuous-plus-15m,CONTINUOUS_WORK,연속근무시간 15분 증가,54.7,29.880456,PREDICTED,51.602314,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-continuous-plus-30m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6177,continuous-plus-30m,CONTINUOUS_WORK,연속근무시간 30분 증가,54.7,29.555456,PREDICTED,50.551265,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-remaining-weight-plus-10pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6178,remaining-weight-plus-10pct,WORKLOAD,남은 중량 10% 증가,54.7,29.770329,PREDICTED,52,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-rain-plus-2mmh-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6179,rain-plus-2mmh,WEATHER,시간당 강수량 2mm 증가,54.7,29.656567,PREDICTED,50.87364,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-visibility-minus-20pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6180,visibility-minus-20pct,WEATHER,시정 20% 감소,54.7,29.914456,PREDICTED,52,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-uphill-plus-2pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6181,uphill-plus-2pct,ROUTE,현재 경로 경사 2%p 증가,54.7,29.733483,PREDICTED,52,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-incident-factor-plus-005-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6182,incident-factor-plus-005,ROUTE,지역 incident factor 0.05 증가,54.7,29.857789,PREDICTED,52,scenario-rain-hill-longshift-v1-stop-017,60
frozen-scenario-rain-hill-longshift-v1-self-check-missing-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6183,self-check-missing,MISSINGNESS,선택형 자기점검 입력 결측,54.7,31.526456,NO_BREACH_IN_HORIZON,,,60
frozen-scenario-heat-heavy-stairs-v1-shift-plus-30m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6184,shift-plus-30m,SHIFT,누적근무시간 30분 증가,41.95,29.9348,PREDICTED,29.720874,scenario-heat-heavy-stairs-v1-stop-010,65
frozen-scenario-heat-heavy-stairs-v1-shift-plus-60m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6185,shift-plus-60m,SHIFT,누적근무시간 60분 증가,41.95,29.926719,PREDICTED,28.750076,scenario-heat-heavy-stairs-v1-stop-010,65
frozen-scenario-heat-heavy-stairs-v1-continuous-plus-15m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6186,continuous-plus-15m,CONTINUOUS_WORK,연속근무시간 15분 증가,41.95,29.9973,PREDICTED,29.988337,scenario-heat-heavy-stairs-v1-stop-010,65
frozen-scenario-heat-heavy-stairs-v1-continuous-plus-30m-v1,scenario-heat-heavy-stairs-v1,FROZEN_TEST,MOCK,true,frozen-benchmark-v1.0.0,6187,continuous-plus-30m,CONTINUOUS_WORK,연속근무시간 30분 증가,41.95,29.8098,PREDICTED,29.200009,scenario-heat-heavy-stairs-v1-stop-010,65
