caseId,caseType,transferredStopCount,candidateId,breachStatus,feasibility,sourceBaselineMinimumBudget,sourceCandidateMinimumBudget,recipientBaselineMinimumBudget,recipientCandidateMinimumBudget,recipientBudgetDrop,minimumRecipientThreshold,maximumRecipientDrop,expectedFeasible,actualFeasible,expectedReasonCodes,reasonCodes,passed
guard-budget-44p99-drop-0,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,INFEASIBLE,,,44.99,44.99,0,45,15,false,false,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR,true
guard-budget-44p99-drop-14p99,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,INFEASIBLE,,,59.98,44.99,14.99,45,15,false,false,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR,true
guard-budget-44p99-drop-15,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,INFEASIBLE,,,59.99,44.99,15,45,15,false,false,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR,true
guard-budget-44p99-drop-15p01,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,INFEASIBLE,,,60,44.99,15.01,45,15,false,false,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR|TRANSFER_RECIPIENT_BUDGET_DROP_EXCEEDED,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR|TRANSFER_RECIPIENT_BUDGET_DROP_EXCEEDED,true
guard-budget-45-drop-0,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,45,45,0,45,15,true,true,,,true
guard-budget-45-drop-14p99,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,59.99,45,14.99,45,15,true,true,,,true
guard-budget-45-drop-15,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,60,45,15,45,15,true,true,,,true
guard-budget-45-drop-15p01,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,INFEASIBLE,,,60.01,45,15.01,45,15,false,false,TRANSFER_RECIPIENT_BUDGET_DROP_EXCEEDED,TRANSFER_RECIPIENT_BUDGET_DROP_EXCEEDED,true
guard-budget-45p01-drop-0,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,45.01,45.01,0,45,15,true,true,,,true
guard-budget-45p01-drop-14p99,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,60,45.01,14.99,45,15,true,true,,,true
guard-budget-45p01-drop-15,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,60.01,45.01,15,45,15,true,true,,,true
guard-budget-45p01-drop-15p01,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,INFEASIBLE,,,60.02,45.01,15.01,45,15,false,false,TRANSFER_RECIPIENT_BUDGET_DROP_EXCEEDED,TRANSFER_RECIPIENT_BUDGET_DROP_EXCEEDED,true
guard-budget-60-drop-0,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,60,60,0,45,15,true,true,,,true
guard-budget-60-drop-14p99,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,74.99,60,14.99,45,15,true,true,,,true
guard-budget-60-drop-15,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,75,60,15,45,15,true,true,,,true
guard-budget-60-drop-15p01,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,INFEASIBLE,,,75.01,60,15.01,45,15,false,false,TRANSFER_RECIPIENT_BUDGET_DROP_EXCEEDED,TRANSFER_RECIPIENT_BUDGET_DROP_EXCEEDED,true
guard-breach-control,DIRECT_GUARD,,,NO_BREACH_IN_HORIZON,FEASIBLE,,,55,50,5,45,15,true,true,,,true
guard-breach-predicted,DIRECT_GUARD,,,PREDICTED,INFEASIBLE,,,55,50,5,45,15,false,false,TRANSFER_RECIPIENT_BREACH_PREDICTED,TRANSFER_RECIPIENT_BREACH_PREDICTED,true
guard-breach-already,DIRECT_GUARD,,,ALREADY_BREACHED,INFEASIBLE,,,55,50,5,45,15,false,false,TRANSFER_RECIPIENT_BREACH_PREDICTED,TRANSFER_RECIPIENT_BREACH_PREDICTED,true
guard-breach-at-both-numeric-limits,DIRECT_GUARD,,,PREDICTED,INFEASIBLE,,,60,45,15,45,15,false,false,TRANSFER_RECIPIENT_BREACH_PREDICTED,TRANSFER_RECIPIENT_BREACH_PREDICTED,true
full-plan-transfer-4,FULL_PLAN_TRANSFER,4,candidate-8ec8da1d,NO_BREACH_IN_HORIZON,FEASIBLE,29.914456,35.796503,52.5,49.022483,3.477517,45,15,true,true,,,true
full-plan-transfer-8,FULL_PLAN_TRANSFER,8,candidate-ec3c64c5,NO_BREACH_IN_HORIZON,FEASIBLE,29.914456,41.817875,52.5,45.012761,7.487239,45,15,true,true,,,true
full-plan-transfer-12,FULL_PLAN_TRANSFER,12,candidate-65ca2376,NO_BREACH_IN_HORIZON,INFEASIBLE,29.914456,47.750764,52.5,40.566386,11.933614,45,15,false,false,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR,true
