variantId,parentFixtureId,split,dataMode,strategy,selectionStatus,candidateSetSignature,candidateCount,selectedCandidateId,actionKinds,feasibility,hardConstraintViolation,baselineMinimumBudget,candidateMinimumBudget,safetyGain,breachOutcome,etaDeltaMinutes,stopCountImbalance,recipientMinimumBudget,recommendationScore,reasonCodes
frozen-scenario-rain-hill-longshift-v1-shift-plus-30m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,671c5c0f,5,candidate-57df2bb6,TRANSFER_STOPS,INFEASIBLE,true,29.739456,47.637014,17.897558,AVOIDED,-37,7,40.566386,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-shift-plus-30m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,671c5c0f,5,candidate-e8a6d75e,TRANSFER_STOPS,FEASIBLE,false,29.739456,41.654125,11.914669,AVOIDED,-25,1,45.012761,3.16466,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-shift-plus-30m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,671c5c0f,5,candidate-be6ce580,REST|TRANSFER_STOPS,FEASIBLE,false,29.739456,47.092528,17.353072,AVOIDED,-15,1,45.012761,10.228665,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-shift-plus-60m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,c2f83729,5,candidate-3d17b78f,TRANSFER_STOPS,INFEASIBLE,true,29.734456,47.632014,17.897558,AVOIDED,-37,7,40.566386,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-shift-plus-60m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,c2f83729,5,candidate-c4407a97,TRANSFER_STOPS,FEASIBLE,false,29.734456,41.649125,11.914669,AVOIDED,-25,1,45.012761,3.16466,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-shift-plus-60m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,c2f83729,5,candidate-f1911f91,REST|TRANSFER_STOPS,FEASIBLE,false,29.734456,47.092528,17.358072,AVOIDED,-15,1,45.012761,10.236999,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-continuous-plus-15m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,ddb7e6d8,5,candidate-82ff1434,TRANSFER_STOPS,INFEASIBLE,true,29.880456,47.657014,17.776558,AVOIDED,-37,7,40.566386,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-continuous-plus-15m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,ddb7e6d8,5,candidate-b27562fc,TRANSFER_STOPS,FEASIBLE,false,29.880456,41.649125,11.768669,AVOIDED,-25,1,45.012761,2.921327,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-continuous-plus-15m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,ddb7e6d8,5,candidate-3e755e76,REST|TRANSFER_STOPS,FEASIBLE,false,29.880456,47.186417,17.305961,AVOIDED,-15,1,45.012761,10.150147,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-continuous-plus-30m-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,c36595f1,5,candidate-b67f188d,TRANSFER_STOPS,INFEASIBLE,true,29.555456,47.563264,18.007808,AVOIDED,-37,7,40.566386,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
