caseId,documentId,hazardType,documentKind,seed,status,passed,validationCode,containsUntrustedInstruction,sourceExcerptVerified,sourceSha256,rawDocumentStored,rawOutputStored
upstage-document-roundtrip-001,document-demo-roundtrip-001,HEAVY_RAIN_SLOPE,SAFETY_MANUAL,6174,PASSED,true,PASS,false,true,6c03f358c4ed0a49f40cd8811d87580169d8947e97cb9957c180f7be60d09def,false,false
upstage-document-roundtrip-002,document-demo-roundtrip-002,HEAVY_RAIN_SLOPE,SHIFT_BULLETIN,6175,PASSED,true,PASS,false,true,773a995f64dc929424b7577dbea392df49016ee56c24693859fcf28c4690b5b2,false,false
upstage-document-roundtrip-003,document-demo-roundtrip-003,HEAVY_RAIN_SLOPE,NEAR_MISS_REVIEW,6176,PASSED,true,PASS,true,true,f558a86d7624e81e638e8566b9f1118a1d8f45411f7eb967f86b0877353f0454,false,false
upstage-document-roundtrip-004,document-demo-roundtrip-004,HEAVY_RAIN_SLOPE,ROUTE_NOTICE,6177,PASSED,true,PASS,false,true,1a85408ffce8689c4a02f77b9fb4580d997fa6b45b3b843afa4402a0d519d0fb,false,false
upstage-document-roundtrip-005,document-demo-roundtrip-005,HEAVY_RAIN_SLOPE,CHECKLIST,6178,PASSED,true,PASS,false,true,d7c77b052a08cb8bc1555293d63a741465b5caa78ff36ac338b58dd3b9222653,false,false
upstage-document-roundtrip-006,document-demo-roundtrip-006,HEAVY_RAIN_SLOPE,SAFETY_MANUAL,6179,PASSED,true,PASS,true,true,330adc16077596fca3003fa99fc256ed4e5bd6b3894bf2fa963e0f5851f0acd6,false,false
upstage-document-roundtrip-007,document-demo-roundtrip-007,HEAVY_RAIN_SLOPE,SHIFT_BULLETIN,6180,PASSED,true,PASS,false,true,9e309a7fce387c4df75f7e24a9e0e1d7fe64f013bc3afaf56e7541031f26c90c,false,false
upstage-document-roundtrip-008,document-demo-roundtrip-008,HEAVY_RAIN_SLOPE,NEAR_MISS_REVIEW,6181,PASSED,true,PASS,false,true,ccbd863e32aaaed13d514afbf4a1c0447159ceac04b24e054ced4e32b02e481d,false,false
upstage-document-roundtrip-009,document-demo-roundtrip-009,HEAVY_RAIN_SLOPE,ROUTE_NOTICE,6182,PASSED,true,PASS,true,true,b64ccbbd4c9b51a80c272be4f2bded3cbdae36ec1235be68244a25910c64c2fc,false,false
upstage-document-roundtrip-010,document-demo-roundtrip-010,HEAVY_RAIN_SLOPE,CHECKLIST,6183,PASSED,true,PASS,false,true,70a90fa8142517f72777fea89fde813312c7dbb760c9eed68824996a97df371c,false,false
upstage-document-roundtrip-011,document-demo-roundtrip-011,HEAT_STAIRS,SAFETY_MANUAL,6184,PASSED,true,PASS,false,true,274724f7acd40892f5416f353b3c9c4887437b57b8bd573f815cf860cac0a756,false,false
upstage-document-roundtrip-012,document-demo-roundtrip-012,HEAT_STAIRS,SHIFT_BULLETIN,6185,PASSED,true,PASS,false,true,44d9256e61d5c38fd680607fb16b2a94de3873fec34661fc6cf56eac7f0531e8,false,false
upstage-document-roundtrip-013,document-demo-roundtrip-013,HEAT_STAIRS,NEAR_MISS_REVIEW,6186,PASSED,true,PASS,true,true,522b0b4effe7e20df38f7c2ea83c34021ba9186854b040a1ff830f0839af8554,false,false
upstage-document-roundtrip-014,document-demo-roundtrip-014,HEAT_STAIRS,ROUTE_NOTICE,6187,PASSED,true,PASS,false,true,f739db1ec836cb42fe6bc10e3394a111e6fa8809255640838a113083eb05aefb,false,false
upstage-document-roundtrip-015,document-demo-roundtrip-015,HEAT_STAIRS,CHECKLIST,6188,PASSED,true,PASS,false,true,d7c81566f92ba5a024024a5f223fd516d695d6c182e66387482ad0bc65e959af,false,false
upstage-document-roundtrip-016,document-demo-roundtrip-016,HEAT_STAIRS,SAFETY_MANUAL,6189,PASSED,true,PASS,true,true,7a94b8fd8087bb054a3b2a015fde0907bfedbe9f03c750aa022aa6cee6323902,false,false
upstage-document-roundtrip-017,document-demo-roundtrip-017,HEAT_STAIRS,SHIFT_BULLETIN,6190,PASSED,true,PASS,false,true,805f2398478aeaa13d4cdf9b6ceb8c32dbfb5f05c87aab821f61bc0cefd756d2,false,false
upstage-document-roundtrip-018,document-demo-roundtrip-018,HEAT_STAIRS,NEAR_MISS_REVIEW,6191,PASSED,true,PASS,false,true,cd79b57b4efdb9f419267138eceef5342db3abda9070c81ade961cb592dbf597,false,false
upstage-document-roundtrip-019,document-demo-roundtrip-019,HEAT_STAIRS,ROUTE_NOTICE,6192,PASSED,true,PASS,true,true,97879b763512ce45345c7e99a53057d9dd70dc17b8df7c4cb6a065c4367fb8e0,false,false
upstage-document-roundtrip-020,document-demo-roundtrip-020,HEAT_STAIRS,CHECKLIST,6193,PASSED,true,PASS,false,true,f0f98636ca41eaf0c09f257c0713aabaff373a4420ae54c5b6345f6a7a952e1b,false,false
upstage-document-roundtrip-021,document-demo-roundtrip-021,LOW_VISIBILITY,SAFETY_MANUAL,6194,PASSED,true,PASS,false,true,4e999e5e5be3078b2f26761e21b928d64aaa37f2716eddbcf520e70e0d1c3466,false,false
upstage-document-roundtrip-022,document-demo-roundtrip-022,LOW_VISIBILITY,SHIFT_BULLETIN,6195,PASSED,true,PASS,false,true,fdcf3f1ed5c7308ad31ec455752ba0e2e68bfea15f83150d5576aace2200a049,false,false
upstage-document-roundtrip-023,document-demo-roundtrip-023,LOW_VISIBILITY,NEAR_MISS_REVIEW,6196,PASSED,true,PASS,true,true,45e63b72752010b0a52d03a961e8f1f0b98ea4b9d241f44c04fe1258fa62bb69,false,false
upstage-document-roundtrip-024,document-demo-roundtrip-024,LOW_VISIBILITY,ROUTE_NOTICE,6197,PASSED,true,PASS,false,true,2354f574ff413c9af0a668553a45ae817c198306c66c46e73e156f5d8cb859c1,false,false
upstage-document-roundtrip-025,document-demo-roundtrip-025,LOW_VISIBILITY,CHECKLIST,6198,PASSED,true,PASS,false,true,6e2cd58a76e82f50b50f336c5aeb7145c0ccf0ad3f23bc1b6ada1fc95de237d1,false,false
upstage-document-roundtrip-026,document-demo-roundtrip-026,LOW_VISIBILITY,SAFETY_MANUAL,6199,PASSED,true,PASS,true,true,9d99a1eed8f37a867600ba3c23b45e69f6bc4eea19c07369f36c867f34ab65cb,false,false
