caseId,category,boundary,expectedOutcome,actualOutcome,expectedReasonCode,reasonCode,passed
time-event-regression-rejected,TIME,latest event - 0.001 minute,ERROR:DECISION_EVENT_TIME_REGRESSION,ERROR:DECISION_EVENT_TIME_REGRESSION,DECISION_EVENT_TIME_REGRESSION,DECISION_EVENT_TIME_REGRESSION,true
time-equal-event-allowed,TIME,latest event timestamp exactly equal,CANDIDATES_GENERATED,CANDIDATES_GENERATED,CANDIDATES_GENERATED,CANDIDATES_GENERATED,true
time-consent-9m59s-not-expired,TIME,first consent age 9.999 minutes,ERROR:CONSENT_NOT_EXPIRED,ERROR:CONSENT_NOT_EXPIRED,CONSENT_NOT_EXPIRED,CONSENT_NOT_EXPIRED,true
time-approve-9m59s-allowed,TIME,first consent age 9.999 minutes,APPROVED,APPROVED,ADMIN_APPROVE,ADMIN_APPROVE,true
time-approve-exact-10m-blocked,TIME,first consent age exactly 10 minutes,ERROR:CONSENT_EXPIRED,ERROR:CONSENT_EXPIRED,CONSENT_EXPIRED,CONSENT_EXPIRED,true
time-expire-exact-10m,TIME,first consent age exactly 10 minutes,RIDER_CONSENT_EXPIRED,RIDER_CONSENT_EXPIRED,CONSENT_EXPIRED,CONSENT_EXPIRED,true
time-revalidate-9m59s-allowed,TIME,revalidation before first consent expiry,APPLYING_PLAN,APPLYING_PLAN,REVALIDATION_PASSED,REVALIDATION_PASSED,true
time-revalidate-exact-10m-blocked,TIME,revalidation at first consent expiry,REVALIDATION_REQUIRED,REVALIDATION_REQUIRED,CONSENT_EXPIRED,CONSENT_EXPIRED,true
consent-admin-cannot-skip-flow,CONSENT,administrator approval from baseline,ERROR:DECISION_STATUS_NOT_ALLOWED,ERROR:DECISION_STATUS_NOT_ALLOWED,DECISION_STATUS_NOT_ALLOWED,DECISION_STATUS_NOT_ALLOWED,true
consent-courier-actor-mismatch,CONSENT,recipient responds for source,ERROR:COURIER_ACTOR_MISMATCH,ERROR:COURIER_ACTOR_MISMATCH,COURIER_ACTOR_MISMATCH,COURIER_ACTOR_MISMATCH,true
consent-unknown-courier-rejected,CONSENT,courier without requirement,ERROR:CONSENT_RESPONSE_NOT_PENDING,ERROR:CONSENT_RESPONSE_NOT_PENDING,CONSENT_RESPONSE_NOT_PENDING,CONSENT_RESPONSE_NOT_PENDING,true
consent-first-of-two-keeps-pending,CONSENT,one of two mandatory consents,RIDER_RESPONSE_PENDING,RIDER_RESPONSE_PENDING,COURIER_CONSENTED,COURIER_CONSENTED,true
consent-duplicate-response-rejected,CONSENT,same courier responds twice,ERROR:CONSENT_RESPONSE_NOT_PENDING,ERROR:CONSENT_RESPONSE_NOT_PENDING,CONSENT_RESPONSE_NOT_PENDING,CONSENT_RESPONSE_NOT_PENDING,true
consent-modification-stops-approval,CONSENT,source requests modification,MODIFICATION_REQUESTED,MODIFICATION_REQUESTED,COURIER_MODIFICATION_REQUESTED,COURIER_MODIFICATION_REQUESTED,true
consent-decline-stops-approval,CONSENT,source declines,RIDER_DECLINED,RIDER_DECLINED,COURIER_DECLINED,COURIER_DECLINED,true
consent-both-complete,CONSENT,two of two mandatory consents,RIDER_CONSENTED,RIDER_CONSENTED,COURIER_CONSENTED,COURIER_CONSENTED,true
consent-admin-request-before-complete,CONSENT,admin request after one consent,ERROR:DECISION_STATUS_NOT_ALLOWED,ERROR:DECISION_STATUS_NOT_ALLOWED,DECISION_STATUS_NOT_ALLOWED,DECISION_STATUS_NOT_ALLOWED,true
consent-previous-candidate-reuse-blocked,CONSENT,regenerate same candidate after modification,ERROR:PREVIOUS_CANDIDATE_REUSE_NOT_ALLOWED,ERROR:PREVIOUS_CANDIDATE_REUSE_NOT_ALLOWED,PREVIOUS_CANDIDATE_REUSE_NOT_ALLOWED,PREVIOUS_CANDIDATE_REUSE_NOT_ALLOWED,true
consent-admin-hold-preserves-review,CONSENT,administrator hold,ADMIN_HELD,ADMIN_HELD,ADMIN_HOLD,ADMIN_HOLD,true
consent-admin-resume-preserves-review,CONSENT,resume held review,ADMIN_APPROVAL_REQUIRED,ADMIN_APPROVAL_REQUIRED,ADMIN_REVIEW_RESUMED,ADMIN_REVIEW_RESUMED,true
version-active-plan-stale,VERSION,active plan version differs before revalidation,REVALIDATION_REQUIRED,REVALIDATION_REQUIRED,STALE_PLAN_VERSION,STALE_PLAN_VERSION,true
