providerId,providerMode,protocol,model,taskId,role,status,passed,latencyMs,promptTokens,completionTokens,totalTokens,fallbackCode
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-admin-plan-001,ADMIN,FALLBACK,false,10014,,,,TIMEOUT
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-courier-source-002,COURIER,FALLBACK,false,10005,,,,TIMEOUT
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-courier-recipient-003,COURIER,FALLBACK,false,10006,,,,TIMEOUT
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-customer-eta-004,CUSTOMER,FALLBACK,false,49,,,,RATE_LIMITED
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-report-summary-005,REPORT,FALLBACK,false,38,,,,RATE_LIMITED
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-admin-blocked-006,ADMIN,FALLBACK,false,35,,,,RATE_LIMITED
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-courier-confidence-007,COURIER,FALLBACK,false,47,,,,RATE_LIMITED
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-admin-applied-008,ADMIN,FALLBACK,false,39,,,,RATE_LIMITED
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-injection-citation-009,ADMIN,FALLBACK,false,42,,,,RATE_LIMITED
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-no-citation-010,CUSTOMER,FALLBACK,false,50,,,,RATE_LIMITED
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-decimal-integrity-011,ADMIN,FALLBACK,false,31,,,,RATE_LIMITED
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,domestic-ai-fallback-boundary-012,REPORT,FALLBACK,false,30,,,,RATE_LIMITED
