providerId,providerMode,protocol,model,taskId,role,status,passed,latencyMs,promptTokens,completionTokens,totalTokens,fallbackCode
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-admin-plan-001,ADMIN,PASSED,true,1,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-courier-source-002,COURIER,PASSED,true,1,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-courier-recipient-003,COURIER,PASSED,true,0,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-customer-eta-004,CUSTOMER,PASSED,true,0,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-report-summary-005,REPORT,PASSED,true,1,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-admin-blocked-006,ADMIN,PASSED,true,0,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-courier-confidence-007,COURIER,PASSED,true,0,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-admin-applied-008,ADMIN,PASSED,true,1,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-injection-citation-009,ADMIN,PASSED,true,0,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-no-citation-010,CUSTOMER,PASSED,true,0,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-decimal-integrity-011,ADMIN,PASSED,true,0,,,,
AX,MOCK,MOCK,ax-mock-contract-v1,domestic-ai-fallback-boundary-012,REPORT,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-admin-plan-001,ADMIN,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-courier-source-002,COURIER,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-courier-recipient-003,COURIER,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-customer-eta-004,CUSTOMER,PASSED,true,1,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-report-summary-005,REPORT,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-admin-blocked-006,ADMIN,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-courier-confidence-007,COURIER,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-admin-applied-008,ADMIN,PASSED,true,2,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-injection-citation-009,ADMIN,PASSED,true,1,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-no-citation-010,CUSTOMER,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-decimal-integrity-011,ADMIN,PASSED,true,0,,,,
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,domestic-ai-fallback-boundary-012,REPORT,PASSED,true,0,,,,
