taskId,documentId,documentKind,split,seed,status,validationCode,generationMs,inputTokens,outputTokens,peakMemoryMiB,outputSha256,displayApproved
a100-extract-synthetic-work-sheet-021,synthetic-work-sheet-021,DELIVERY_WORK_SHEET,frozen-test,61940,safe-fallback,MALFORMED_JSON,10089.05,1521,392,14146.07,b9b42a0a78ea8c9667b7cbd7a7a055759bddbb1ba267dbb950d1ca981a613662,False
a100-extract-synthetic-shift-roster-021,synthetic-shift-roster-021,SHIFT_ROSTER,frozen-test,61941,passed,PASS,6496.47,1120,268,14070.74,2acdf258c878f6fd25f9904a82b75cc69e8fb36a829c7f80e99b70e9c971a2af,True
a100-extract-synthetic-route-manifest-021,synthetic-route-manifest-021,ROUTE_STOP_MANIFEST,frozen-test,61942,passed,PASS,10961.42,1582,453,14161.32,cd67f3e92efd79e1b045c6aa5a5f835866c04fd957ff61e72fb5ea4ceafc4e46,True
a100-extract-synthetic-safety-report-021,synthetic-safety-report-021,SAFETY_INCIDENT_PREVENTION_REPORT,frozen-test,61943,passed,PASS,8457.5,1495,349,14142.68,bb2d40e41b8c8ef0599c0c1828539efeaa7c6e807c59d21acf6e5629f3ccde3f,True
a100-extract-synthetic-work-sheet-022,synthetic-work-sheet-022,DELIVERY_WORK_SHEET,frozen-test,61950,passed,PASS,9444.32,1520,390,14146.05,04244a83d62e18abc565fb2a3ad852d58764325b86359b471c6e312688d40f5a,True
a100-extract-synthetic-shift-roster-022,synthetic-shift-roster-022,SHIFT_ROSTER,frozen-test,61951,passed,PASS,6484.63,1120,268,14070.74,01f14b27b58eaf94a9d1b0b0159ed754761801ff9346b34f491eaef882ae8784,True
a100-extract-synthetic-route-manifest-022,synthetic-route-manifest-022,ROUTE_STOP_MANIFEST,frozen-test,61952,passed,PASS,10897.54,1614,450,14168.95,922d1fe3efa1aeb1503ce42d5a39e60e3745ea3d987de3d7af08d3301ccdf22b,True
a100-extract-synthetic-safety-report-022,synthetic-safety-report-022,SAFETY_INCIDENT_PREVENTION_REPORT,frozen-test,61953,passed,PASS,8447.95,1494,348,14142.59,9cf0c8e92a4e416317a72785d45fa3b4b8064bb6cffc6066748d168a4fd2c451,True
a100-extract-synthetic-work-sheet-023,synthetic-work-sheet-023,DELIVERY_WORK_SHEET,frozen-test,61960,passed,PASS,9443.12,1520,390,14146.05,1cbb3abcabf4b3cb8cd1387e522d0ee0a95bff3b61dc2439c4bceffff5385f50,True
a100-extract-synthetic-shift-roster-023,synthetic-shift-roster-023,SHIFT_ROSTER,frozen-test,61961,passed,PASS,6479.74,1120,268,14070.74,ae9a177e905015ba5b32e46cc63fa82dcf0821091411720a662d2a299c50fa0a,True
a100-extract-synthetic-route-manifest-023,synthetic-route-manifest-023,ROUTE_STOP_MANIFEST,frozen-test,61962,passed,PASS,10895.16,1646,450,14174.67,5836db02c9dc6bd1d2546196be5f7ea13c26aa161feffd5323234baafc763a3b,True
a100-extract-synthetic-safety-report-023,synthetic-safety-report-023,SAFETY_INCIDENT_PREVENTION_REPORT,frozen-test,61963,passed,PASS,8450.46,1494,348,14142.59,849201ba0964c262b50d2d2f958f9d010a424ce039daf2a0550776f027f90257,True
a100-extract-synthetic-work-sheet-024,synthetic-work-sheet-024,DELIVERY_WORK_SHEET,frozen-test,61970,safe-fallback,MALFORMED_JSON,9493.73,1521,392,14146.21,12d32ebc3e14ce19abad5a9b6ad98518012e6a6a683c9884f608ac0f0b5f8aee,False
a100-extract-synthetic-shift-roster-024,synthetic-shift-roster-024,SHIFT_ROSTER,frozen-test,61971,passed,PASS,6486.79,1120,268,14070.74,d9960f6f8df69a047fe6759b66d95b1da999fdbe36de8efe2d217c28c246151c,True
a100-extract-synthetic-route-manifest-024,synthetic-route-manifest-024,ROUTE_STOP_MANIFEST,frozen-test,61972,passed,PASS,10980.68,1679,453,14180.98,1c2208c93e14511f92ed3568960214fb869c504b2eee18955d2508fc553227d7,True
a100-extract-synthetic-safety-report-024,synthetic-safety-report-024,SAFETY_INCIDENT_PREVENTION_REPORT,frozen-test,61973,passed,PASS,8460.79,1495,349,14142.68,d471f9445c7b30b5e347c3a6eb9a23785fb15cd80495f72cac63fff255ebf353,True
a100-extract-synthetic-work-sheet-025,synthetic-work-sheet-025,DELIVERY_WORK_SHEET,frozen-test,61980,passed,PASS,9467.61,1520,390,14146.05,ff601203cfdcc0862b2e7a6665b1ddc27af1886a9b2a14775a6b34a37296838e,True
a100-extract-synthetic-shift-roster-025,synthetic-shift-roster-025,SHIFT_ROSTER,frozen-test,61981,passed,PASS,6500.76,1120,268,14070.74,f0483db076687ef0ff51bc0aa909c9103e39b48bbb7d3242bd36c3d5c36e643a,True
a100-extract-synthetic-route-manifest-025,synthetic-route-manifest-025,ROUTE_STOP_MANIFEST,frozen-test,61982,passed,PASS,10902.0,1452,450,14137.97,8345cff5cd8ab22e64d79f4d593b8d7a090d265c99859e47e31604fe778540b2,True
a100-extract-synthetic-safety-report-025,synthetic-safety-report-025,SAFETY_INCIDENT_PREVENTION_REPORT,frozen-test,61983,safe-fallback,CITATION_VALUE_MISMATCH,8294.54,1506,342,14143.94,46201ce2521cfe85c65a6e443408e860e48fabee2b90eb2fad947ea6ec9f9d11,False
