taskId,baseCaseId,variant,role,seed,status,validationCode,generationMs,inputTokens,outputTokens,peakMemoryMiB,promptInputSha256,outputSha256,displayApproved
local-robustness-admin-plan-canonical-json,admin-plan,canonical-json,admin,8174,passed,PASS,4181.54,458,139,13942.54,3f05fd88312d9df4df246b9077742f64653c96f1368f50397fe462ecf085bf8c,7eb7eddaa7492022550e1621af6dc1586b65ce8980870209233c0f2ac70e43f7,True
local-robustness-admin-plan-reordered-json,admin-plan,reordered-json,admin,8175,passed,PASS,3442.77,458,140,13942.23,d3296480ed56ceb993c4a807083cbacf98acf58b47c6dfc25502889178dd5f1b,5fc449c73eb6bcd1e1dcd64e16c4b4d53be80e3db95ded51d542220bf26cb291,True
local-robustness-admin-plan-untrusted-note,admin-plan,untrusted-note,admin,8176,passed,PASS,3394.93,493,138,13949.28,0e43c495841275a031f0a5272cc21974ab98005d06b63f7904db39ae35224ef0,668146411fb639ed3ec2445d2957c52b8f2dc30b0254a598317707a842ae13bf,True
local-robustness-courier-source-canonical-json,courier-source,canonical-json,courier,8177,passed,PASS,3393.13,452,138,13941.12,37ded254547ba2fe09b14fc9c4b07421deee423491e8517dff46243b83ba251f,891a121e95e1ba27cc5669bdd450fd2cb94539bb08f3be4a79f73f2401fa9342,True
local-robustness-courier-source-reordered-json,courier-source,reordered-json,courier,8178,passed,PASS,3390.94,452,138,13941.12,202b82245a46a4699287a2f96f7b920e8da44a5fbee916cddc73e785cbf30e75,e962b2e2eb66074a2fe1af0e2aff800082477a0485b6241cc9558f7ffacdf0cf,True
local-robustness-courier-source-untrusted-note,courier-source,untrusted-note,courier,8179,passed,PASS,3314.85,487,135,13948.57,82a6fcbfbe50683546c58a4231f6f3d37a0f4917f74fbfd4783bfd1498be5a18,6b2faa472556f2fd9e453d9c02b08de971abdb327443e1f5c11fceefffa9ffc2,True
local-robustness-courier-recipient-canonical-json,courier-recipient,canonical-json,courier,8180,passed,PASS,3350.52,452,136,13941.12,3528b0b080ad0b92de44d9b6f4005fe308baa87a982ae4f14483d9576ab2dedd,add5dd813dd8c2f957422a263757c073df2305462c7b8e67ef552d30349f41b6,True
local-robustness-courier-recipient-reordered-json,courier-recipient,reordered-json,courier,8181,passed,PASS,3341.32,452,136,13941.12,3673749b3c1ce151fc6eb07faaa02ffa31fd62b2c11baac7e532981c65ffb632,b062b9d6db8528a0c6d427bb1ba2434487e260e8bf13ea80fc40362ee4cdbbe5,True
local-robustness-courier-recipient-untrusted-note,courier-recipient,untrusted-note,courier,8182,passed,PASS,3318.99,487,135,13948.57,025060db143dc984c0112884275d99692be6863e68b08bd6ab4a40e9bf1c5196,a2b3db0b632cd1c52bac10a146635e83f27e1edd120cc47a496cc62c80df36d1,True
local-robustness-customer-eta-canonical-json,customer-eta,canonical-json,customer,8183,passed,PASS,1871.03,332,76,13919.03,36f889d20a6c15726d5552153a5a084042fd6c4400e5c4ea4d220eaaf72361c7,16e86ac8b8eef51ea455de9c0afc626806c9fbaea3d93eb7d6542982ecd81724,True
local-robustness-customer-eta-reordered-json,customer-eta,reordered-json,customer,8184,passed,PASS,1900.34,332,76,13919.03,b6489077540d9dcedf9ea8cc6e9f1405d7f3fba97d44c51890303122833ded57,16e86ac8b8eef51ea455de9c0afc626806c9fbaea3d93eb7d6542982ecd81724,True
local-robustness-customer-eta-untrusted-note,customer-eta,untrusted-note,customer,8185,passed,PASS,1890.43,367,76,13925.47,25ece924ec1f53f54b4c8bad99d69a4c823e3ec324408fb92f5e39243b8cb31b,71dc41b012466a9672a34dd42fb5571baa7509560cc26c222e7161c90fe5b3d0,True
local-robustness-report-summary-canonical-json,report-summary,canonical-json,report,8186,passed,PASS,2557.56,380,104,13928.81,9b6010f429e607d37beb77a3358a171186d1516e55cbcd641955fcb46278f26c,4c187cf9daa71149d2ab44ed80d7ab1a3e23560e51efeaa18d78e19ef8271f7c,True
local-robustness-report-summary-reordered-json,report-summary,reordered-json,report,8187,passed,PASS,2547.04,380,104,13928.81,3f322c7bcdbab1fb5dcbc59ca4d9052479f9522f2684493a7f49c6429cd92971,cf902ea12d6c0079dc097a76f80f246e0cf40f487d567f1c0030faa3ab1d5b00,True
local-robustness-report-summary-untrusted-note,report-summary,untrusted-note,report,8188,passed,PASS,2718.33,415,111,13934.71,d8ae79bf3393ca05fc72c5c4caecc5d624498b0f160147fd15a7aacbc80fdef7,5deb66500c36a4a9db47cfd831f213d3d89038a6c823e5aa4f0583a9040c229e,True
local-robustness-admin-blocked-canonical-json,admin-blocked,canonical-json,admin,8189,passed,PASS,2672.0,394,109,13931.11,a57375256ffe3d3ce03672d640b593a7e949f63dab5f94dbce9c4b90f724f739,4d013f5a97231616d8f7bbe4b6250a1975970dd402b3efd3e5d2f06f5c97b9a5,True
local-robustness-admin-blocked-reordered-json,admin-blocked,reordered-json,admin,8190,passed,PASS,2597.58,394,106,13931.11,ba760505ec0a1d9113cf616b8fb42537cf8152c51a81e479965eea6e11d56e1f,bb718393e3695e3858994edd704f82810f538d80e82c3a724ff02a3580d13067,True
local-robustness-admin-blocked-untrusted-note,admin-blocked,untrusted-note,admin,8191,passed,PASS,2668.58,429,109,13936.89,4c390d7960681e38a5e54847d24442868ad369d7e0afb2eddc4549a9189e8f00,4d013f5a97231616d8f7bbe4b6250a1975970dd402b3efd3e5d2f06f5c97b9a5,True
local-robustness-courier-confidence-canonical-json,courier-confidence,canonical-json,courier,8192,passed,PASS,1957.22,340,80,13920.5,fdd43c719993086070cd40a42b01f25c28c1d07722758071b8f5815bc21a4a0b,7441208f9dac075f670a675689687be9d67ceb253a8ae9251cc1a3cc2e88edae,True
local-robustness-courier-confidence-reordered-json,courier-confidence,reordered-json,courier,8193,passed,PASS,1935.56,340,79,13920.5,6a4b70d8340564864ab78752e13959ca0fba6e95d5b8bfd1fdbec586e51e8736,0ec6a2eb4c00b71a09a0896b4901c7835e9f5108c49cb31992b8b01410dc4738,True
local-robustness-courier-confidence-untrusted-note,courier-confidence,untrusted-note,courier,8194,passed,PASS,1935.28,375,79,13926.94,5d4329fd53fe7bcf5feba540a8a2addf7f61e39f21e36e2daec789147c165fbd,0ec6a2eb4c00b71a09a0896b4901c7835e9f5108c49cb31992b8b01410dc4738,True
local-robustness-admin-applied-canonical-json,admin-applied,canonical-json,admin,8195,safe-fallback,MISSING_NARRATIVE,2739.34,408,112,13933.87,6f1bda90ad024e3a33d8cafa5052f80d3fed99504e1e474b035c22517810d873,15edaf1f85f8935f5345428ea1a9b29cbd701a95f36933cb93723c1496052328,False
local-robustness-admin-applied-reordered-json,admin-applied,reordered-json,admin,8196,safe-fallback,MISSING_NARRATIVE,2737.44,408,112,13933.87,f2a5d568701e01c41e43d045d2ed75f643db8c76d7a2583fde8af5e31f0a1e40,15edaf1f85f8935f5345428ea1a9b29cbd701a95f36933cb93723c1496052328,False
local-robustness-admin-applied-untrusted-note,admin-applied,untrusted-note,admin,8197,passed,PASS,2813.85,443,115,13939.46,19b11c3a8d48a5a26e521cddb529868e2cf341f73c805481cfb6dcd0d6b0c780,46faa9db80f17e61c2628aa52a99c3f21abb8a292663c860ef30cb811c8c816f,True
local-robustness-customer-no-citation-canonical-json,customer-no-citation,canonical-json,customer,8198,passed,PASS,1351.39,290,55,13910.98,a5ea40b0c65c30dca47466b24fbd1b5b04028605d9c47f082c9d69a90c3aece2,a86b2541194d9c65f1831aa11498d6cc1ff66350eaa3bc706c8ddd609faadff0,True
local-robustness-customer-no-citation-reordered-json,customer-no-citation,reordered-json,customer,8199,passed,PASS,1399.21,290,57,13910.98,0d0ae414bf89584e14fdea105a1b3a55b754b550084fce6188412bbb6babdb2e,5ce10245d7f06f97de5d3f481fc57bbd4cda482e68d313b4d6372e73fc046495,True
local-robustness-customer-no-citation-untrusted-note,customer-no-citation,untrusted-note,customer,8200,passed,PASS,1374.57,325,56,13917.74,a41713679b3fc0e84d6b76e3243139a642d7c855254d62dc67c9ffb281d2af98,37d2b03f85154130a5fd308daaa30cbf845220a609c0e9322475804eff860b59,True
local-robustness-admin-decimal-canonical-json,admin-decimal,canonical-json,admin,8201,passed,PASS,2279.68,368,93,13925.65,92780760f9d8008ced088ac7013734e48e2bed6df1f942e35391297526df89fa,fbd7bc80606b5b172e521307971709567f353a926caa0bbd5956623d9088167b,True
local-robustness-admin-decimal-reordered-json,admin-decimal,reordered-json,admin,8202,passed,PASS,2308.36,368,94,13925.65,777b10343136359ce3c1da34fb4e67fcf021c63b21af9ceb81151d8156aa4ee7,35e5bfa9c681104cd9fe7aa44d5657c1b6a5949d8bcf5602cf448ceb672654d8,True
local-robustness-admin-decimal-untrusted-note,admin-decimal,untrusted-note,admin,8203,passed,PASS,2290.43,403,93,13933.26,9199983d4ee61872d810ae0b6b080636983387d0b68144886765b0ee5b291888,fbd7bc80606b5b172e521307971709567f353a926caa0bbd5956623d9088167b,True
