taskId,role,status,passed,latencyMs,citedFactCount,citationCount,fallbackCode
upstage-smoke-admin-plan-001,ADMIN,LIVE,true,1615,4,1,
upstage-smoke-courier-source-002,COURIER,LIVE,true,1749,4,1,
upstage-smoke-courier-recipient-003,COURIER,LIVE,true,1559,4,1,
upstage-smoke-customer-eta-004,CUSTOMER,LIVE,true,1225,2,0,
upstage-smoke-report-summary-005,REPORT,LIVE,true,1321,3,1,
upstage-smoke-admin-blocked-006,ADMIN,FALLBACK,false,1452,3,1,MALFORMED_RESPONSE
upstage-smoke-courier-confidence-007,COURIER,LIVE,true,1244,2,0,
upstage-smoke-admin-applied-008,ADMIN,LIVE,true,1680,3,1,
upstage-smoke-injection-citation-009,ADMIN,LIVE,true,1188,2,1,
upstage-smoke-no-citation-010,CUSTOMER,LIVE,true,1116,1,0,
upstage-smoke-decimal-integrity-011,ADMIN,LIVE,true,1577,2,1,
upstage-smoke-fallback-boundary-012,REPORT,LIVE,true,1500,2,1,
